ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,TRUE,TRUE
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,TRUE,TRUE
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,TRUE,TRUE
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,TRUE,TRUE
N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,TRUE,TRUE
N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,TRUE,TRUE
N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,TRUE,TRUE
N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,N_02006,Hung-tung Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_02006,TRUE,TRUE
N_00788,Chongying Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00788,N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,TRUE,TRUE
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,TRUE,TRUE
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,TRUE,TRUE
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_02005,Hung-tung Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_02005,N_02006,Hung-tung Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_02006,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,TRUE
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,TRUE
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,TRUE
N_02869,Li-Hsien Middle School,https://data.chcdatabase.com/search?nodeSelect=N_02869,N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,TRUE,TRUE
N_05247,Tso-un Mixed Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_05247,N_05248,Tso-un Mixed Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_05248,TRUE,TRUE
N_05247,Tso-un Mixed Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_05247,N_05249,Tso-un Mixed Day School #3,https://data.chcdatabase.com/search?nodeSelect=N_05249,TRUE,TRUE
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_05767,Yinghua Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_05767,TRUE,TRUE
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
